2022-04-18 08-01-02:已进入聊天室 your-channel
2022-04-18 08-01-02:发送信息：Hello World !
2022-04-18 08-01-02:发送信息：大家好！我是机器人 ZhangBot。
最近我的随机笑话功能上线了，大家可以对我说“@ZhangBot 讲个笑话”
要和我说话，只要说“@ZhangBot ...”就可以啦。
要获取帮助，请说“@ZhangBot 帮助”
注意：拒绝为黑名单用户提供服务！
2022-04-18 08-01-02:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-01-02:收到来自 SprinkleBot 的信息：### SprinkleBot 帮助
命令列表
| 表情包 | 趣站 | 涩图 | 变色 | 蛤 |  ﾟ∀ﾟ)σ |
2022-04-18 08-01-05:收到来自 Corpse_wine 的信息：带回家泡酒喝
2022-04-18 08-01-13:检测到 ZhangProtector 进入聊天室
2022-04-18 08-01-13:发送信息：热烈欢迎 ZhangProtector 入场！
2022-04-18 08-01-13:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-01-17:收到来自 Corpse_wine 的信息：。。。
2022-04-18 08-01-18:收到来自 To21_squirrel 的信息：。。。
2022-04-18 08-01-42:检测到 4n0n4me 进入聊天室
2022-04-18 08-01-42:发送信息：热烈欢迎 4n0n4me 入场！
2022-04-18 08-01-42:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-01-57:收到来自 Corpse_wine 的信息：hi错误网站
2022-04-18 08-01-59:收到来自 154 的信息：hii
2022-04-18 08-02-03:收到来自 4n0n4me 的信息：hi
2022-04-18 08-02-15:收到来自 To21_squirrel 的信息：hi
2022-04-18 08-02-17:检测到 shisi 进入聊天室
2022-04-18 08-02-17:发送信息：热烈欢迎 shisi 入场！
2022-04-18 08-02-17:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-02-19:收到来自 Corpse_wine 的信息：hi
2022-04-18 08-02-24:收到来自 To21_squirrel 的信息：hi
2022-04-18 08-02-25:收到来自 shisi 的信息：早
2022-04-18 08-02-46:收到来自 Corpse_wine 的信息：十四？誓死？是死？拾肆？
2022-04-18 08-02-48:收到来自 Corpse_wine 的信息：？？？
2022-04-18 08-02-56:收到来自 To21_squirrel 的信息：鹅鹅鹅
2022-04-18 08-02-59:收到来自 shisi 的信息：14
2022-04-18 08-03-02:收到来自 shisi 的信息：十四
2022-04-18 08-03-02:收到来自 Corpse_wine 的信息：昂
2022-04-18 08-03-12:收到来自 shisi 的信息：我家里排行十四
2022-04-18 08-03-14:检测到 Corpse_wine 离开聊天室
2022-04-18 08-03-14:发送信息：欢迎下次再来，Corpse_wine ！
2022-04-18 08-03-14:检测到 49 进入聊天室
2022-04-18 08-03-14:发送信息：热烈欢迎 49 入场！
2022-04-18 08-03-14:收到来自 SprinkleBot 的信息：bye(ノﾟ∀ﾟ)
2022-04-18 08-03-14:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-03-20:收到来自 To21_squirrel 的信息：hi
2022-04-18 08-03-21:收到来自 49 的信息：嘿嘿嘿
2022-04-18 08-03-21:收到来自 shisi 的信息：哈哈哈
2022-04-18 08-03-26:收到来自 To21_squirrel 的信息：鹅鹅鹅
2022-04-18 08-03-51:检测到 49 离开聊天室
2022-04-18 08-03-51:发送信息：欢迎下次再来，49 ！
2022-04-18 08-03-51:检测到 Corpse_wine 进入聊天室
2022-04-18 08-03-51:发送信息：热烈欢迎 Corpse_wine 入场！
2022-04-18 08-03-51:收到来自 SprinkleBot 的信息：bye(ノﾟ∀ﾟ)
2022-04-18 08-03-51:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-03-56:收到来自 To21_squirrel 的信息：。。
2022-04-18 08-04-02:收到来自 Corpse_wine 的信息：还是换回来好
2022-04-18 08-04-07:收到来自 To21_squirrel 的信息：呃
2022-04-18 08-04-19:收到来自 Corpse_wine 的信息：这样有内涵
2022-04-18 08-04-28:收到来自 Corpse_wine 的信息：哈哈哈哈和
2022-04-18 08-04-46:检测到 Violeta 进入聊天室
2022-04-18 08-04-46:发送信息：热烈欢迎 Violeta 入场！
2022-04-18 08-04-46:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-04-53:收到来自 Corpse_wine 的信息：hi紫罗兰
2022-04-18 08-04-56:收到来自 Violeta 的信息：hi
2022-04-18 08-04-59:收到来自 Corpse_wine 的信息：多久没来了？
2022-04-18 08-05-17:收到来自 Corpse_wine 的信息：都快把你忘了
2022-04-18 08-05-20:收到来自 Corpse_wine 的信息：哈哈哈哈
2022-04-18 08-05-20:收到来自 Violeta 的信息：周五放假+周末 都没来
2022-04-18 08-05-30:收到来自 Corpse_wine 的信息：三天
2022-04-18 08-05-32:收到来自 Corpse_wine 的信息：emm
2022-04-18 08-05-43:收到来自 Corpse_wine 的信息：我能说想你了吗？
2022-04-18 08-05-53:收到来自 Corpse_wine 的信息：哈哈
2022-04-18 08-05-57:收到来自 Violeta 的信息：哈哈哈
2022-04-18 08-05-59:收到来自 Corpse_wine 的信息：（捣乱）
2022-04-18 08-06-16:收到来自 Violeta 的信息：本来是进来看tcg在不在的
2022-04-18 08-06-22:收到来自 Corpse_wine 的信息：哈哈哈哈、
2022-04-18 08-06-42:收到来自 Violeta 的信息：上次我来的时候他就不在
2022-04-18 08-06-55:收到来自 Corpse_wine 的信息：鹅鹅鹅
2022-04-18 08-07-07:收到来自 Corpse_wine 的信息：铁锅炖大鹅
2022-04-18 08-07-24:收到来自 Corpse_wine 的信息：松鼠呢
2022-04-18 08-07-31:收到来自 Corpse_wine 的信息：出来嗨！！！
2022-04-18 08-07-43:收到来自 shisi 的信息：听说南京有学生运动？
2022-04-18 08-07-49:收到来自 4n0n4me 的信息：啊？
2022-04-18 08-07-52:收到来自 To21_squirrel 的信息：。。
2022-04-18 08-07-56:收到来自 To21_squirrel 的信息：这呢
2022-04-18 08-07-59:收到来自 Corpse_wine 的信息：？
2022-04-18 08-08-04:收到来自 To21_squirrel 的信息：在追剧
2022-04-18 08-08-07:收到来自 Corpse_wine 的信息：学生运动？
2022-04-18 08-08-15:收到来自 shisi 的信息：听同学说的
2022-04-18 08-08-19:收到来自 4n0n4me 的信息：我好像是听说什么
2022-04-18 08-08-26:收到来自 4n0n4me 的信息：好像是南京
2022-04-18 08-08-30:收到来自 Corpse_wine 的信息：上互联网！
2022-04-18 08-08-31:收到来自 shisi 的信息：他说有的被约谈了
2022-04-18 08-08-35:收到来自 4n0n4me 的信息：好像是学校封的不合理
2022-04-18 08-08-42:收到来自 shisi 的信息：当然规模肯定没那么大
2022-04-18 08-09-03:收到来自 4n0n4me 的信息：我听说有的学生在墙上写宪法的语句
2022-04-18 08-09-08:收到来自 4n0n4me 的信息：但是这都是。。。
2022-04-18 08-09-08:收到来自 shisi 的信息：对对
2022-04-18 08-09-12:收到来自 4n0n4me 的信息：都是推特上看的
2022-04-18 08-09-14:收到来自 154 的信息：吐了网课居然看不了
2022-04-18 08-09-17:收到来自 Violeta 的信息：哦
2022-04-18 08-09-28:收到来自 shisi 的信息：说他们用喷漆在墙上喷字
2022-04-18 08-09-29:收到来自 154 的信息：还是打4399吧
2022-04-18 08-09-31:收到来自 4n0n4me 的信息：推特上的人立场歪，南京有这件事，抢着发
2022-04-18 08-09-33:收到来自 Violeta 的信息：我好久没上推了
2022-04-18 08-09-41:收到来自 Corpse_wine 的信息：+1
2022-04-18 08-09-48:收到来自 4n0n4me 的信息：（立场歪是相对来说的，不是我贬低他们
2022-04-18 08-10-22:检测到 tcg 进入聊天室
2022-04-18 08-10-22:发送信息：热烈欢迎 tcg 入场！
2022-04-18 08-10-22:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-10-32:收到来自 tcg 的信息：wuwa
2022-04-18 08-10-35:收到来自 shisi 的信息：老师不给批假，学生联合集资起来把老师在微博挂了一周
2022-04-18 08-10-40:收到来自 Corpse_wine 的信息：hi天才狗（插上一句话！）
2022-04-18 08-10-45:收到来自 Violeta 的信息：我5点起床，现在上课困死了
2022-04-18 08-10-45:收到来自 tcg 的信息：昨天敖了一会儿
2022-04-18 08-10-48:收到来自 tcg 的信息：有点困
2022-04-18 08-10-50:收到来自 Violeta 的信息：tcg
2022-04-18 08-10-52:收到来自 tcg 的信息：。_。
2022-04-18 08-10-59:收到来自 tcg 的信息：hiyo!
2022-04-18 08-11-00:收到来自 shisi 的信息：昨晚一点睡
2022-04-18 08-11-02:收到来自 Violeta 的信息：我刚进来就找你呢
2022-04-18 08-11-02:检测到 154 离开聊天室
2022-04-18 08-11-02:发送信息：欢迎下次再来，154 ！
2022-04-18 08-11-02:收到来自 SprinkleBot 的信息：bye(ノﾟ∀ﾟ)
2022-04-18 08-11-13:收到来自 tcg 的信息：薇尔莉塔桑~
2022-04-18 08-11-17:收到来自 Violeta 的信息：哈哈哈
2022-04-18 08-11-20:收到来自 tcg 的信息：找我什么事呀~
2022-04-18 08-11-20:收到来自 Corpse_wine 的信息：哈哈哈哈
2022-04-18 08-11-28:收到来自 Violeta 的信息：上次我来的时候你挂机
2022-04-18 08-11-32:收到来自 tcg 的信息：（沼气慢慢）
2022-04-18 08-11-35:收到来自 Corpse_wine 的信息：饿了，吃一口松鼠
2022-04-18 08-11-36:收到来自 tcg 的信息：嗯哼？
2022-04-18 08-11-51:收到来自 shisi 的信息：去上课了
2022-04-18 08-12-02:收到来自 Violeta 的信息：没什么就是本来想找你聊天来着
2022-04-18 08-12-07:收到来自 tcg 的信息：哦哦
2022-04-18 08-12-20:收到来自 tcg 的信息：怎么突然想找我聊天惹
2022-04-18 08-12-23:收到来自 tcg 的信息：。_。
